id;length;x;y;z
100;0.1840;0.0000;2.6370;0.0000
101;0.1840;0.2100;2.6370;0.0000
102;0.1840;0.4200;2.6370;0.0000
103;0.1840;0.6300;2.6370;0.0000
104;0.1840;0.8400;2.6370;0.0000
105;0.1840;1.0500;2.6370;0.0000
106;0.1840;1.2600;2.6370;0.0000
107;0.1840;1.4700;2.6370;0.0000
108;0.1840;1.6800;2.6370;0.0000
109;0.1840;1.8900;2.6370;0.0000
110;0.1840;0.0000;2.3440;0.0000
111;0.1840;0.2100;2.3440;0.0000
112;0.1840;0.4200;2.3440;0.0000
113;0.1840;0.6300;2.3440;0.0000
114;0.1840;0.8400;2.3440;0.0000
115;0.1840;1.0500;2.3440;0.0000
116;0.1840;1.2600;2.3440;0.0000
117;0.1840;1.4700;2.3440;0.0000
118;0.1840;1.6800;2.3440;0.0000
119;0.1840;1.8900;2.3440;0.0000
120;0.1840;0.0000;2.0510;0.0000
121;0.1840;0.2100;2.0510;0.0000
122;0.1840;0.4200;2.0510;0.0000
123;0.1840;0.6300;2.0510;0.0000
124;0.1840;0.8400;2.0510;0.0000
125;0.1840;1.0500;2.0510;0.0000
126;0.1840;1.2600;2.0510;0.0000
127;0.1840;1.4700;2.0510;0.0000
128;0.1840;1.6800;2.0510;0.0000
129;0.1840;1.8900;2.0510;0.0000
130;0.1840;0.0000;1.7580;0.0000
131;0.1840;0.2100;1.7580;0.0000
132;0.1840;0.4200;1.7580;0.0000
133;0.1840;0.6300;1.7580;0.0000
134;0.1840;0.8400;1.7580;0.0000
135;0.1840;1.0500;1.7580;0.0000
136;0.1840;1.2600;1.7580;0.0000
137;0.1840;1.4700;1.7580;0.0000
138;0.1840;1.6800;1.7580;0.0000
139;0.1840;1.8900;1.7580;0.0000
140;0.1840;0.0000;1.4650;0.0000
141;0.1840;0.2100;1.4650;0.0000
142;0.1840;0.4200;1.4650;0.0000
143;0.1840;0.6300;1.4650;0.0000
144;0.1840;0.8400;1.4650;0.0000
145;0.1840;1.0500;1.4650;0.0000
146;0.1840;1.2600;1.4650;0.0000
147;0.1840;1.4700;1.4650;0.0000
148;0.1840;1.6800;1.4650;0.0000
149;0.1840;1.8900;1.4650;0.0000
150;0.1840;0.0000;1.1720;0.0000
151;0.1840;0.2100;1.1720;0.0000
152;0.1840;0.4200;1.1720;0.0000
153;0.1840;0.6300;1.1720;0.0000
154;0.1840;0.8400;1.1720;0.0000
155;0.1840;1.0500;1.1720;0.0000
156;0.1840;1.2600;1.1720;0.0000
157;0.1840;1.4700;1.1720;0.0000
158;0.1840;1.6800;1.1720;0.0000
159;0.1840;1.8900;1.1720;0.0000
160;0.1840;0.0000;0.8790;0.0000
161;0.1840;0.2100;0.8790;0.0000
162;0.1840;0.4200;0.8790;0.0000
163;0.1840;0.6300;0.8790;0.0000
164;0.1840;0.8400;0.8790;0.0000
165;0.1840;1.0500;0.8790;0.0000
166;0.1840;1.2600;0.8790;0.0000
167;0.1840;1.4700;0.8790;0.0000
168;0.1840;1.6800;0.8790;0.0000
169;0.1840;1.8900;0.8790;0.0000
170;0.1840;0.0000;0.5860;0.0000
171;0.1840;0.2100;0.5860;0.0000
172;0.1840;0.4200;0.5860;0.0000
173;0.1840;0.6300;0.5860;0.0000
174;0.1840;0.8400;0.5860;0.0000
175;0.1840;1.0500;0.5860;0.0000
176;0.1840;1.2600;0.5860;0.0000
177;0.1840;1.4700;0.5860;0.0000
178;0.1840;1.6800;0.5860;0.0000
179;0.1840;1.8900;0.5860;0.0000
180;0.1840;0.0000;0.2930;0.0000
181;0.1840;0.2100;0.2930;0.0000
182;0.1840;0.4200;0.2930;0.0000
183;0.1840;0.6300;0.2930;0.0000
184;0.1840;0.8400;0.2930;0.0000
185;0.1840;1.0500;0.2930;0.0000
186;0.1840;1.2600;0.2930;0.0000
187;0.1840;1.4700;0.2930;0.0000
188;0.1840;1.6800;0.2930;0.0000
189;0.1840;1.8900;0.2930;0.0000
190;0.1840;0.0000;0.0000;0.0000
191;0.1840;0.2100;0.0000;0.0000
192;0.1840;0.4200;0.0000;0.0000
193;0.1840;0.6300;0.0000;0.0000
194;0.1840;0.8400;0.0000;0.0000
195;0.1840;1.0500;0.0000;0.0000
196;0.1840;1.2600;0.0000;0.0000
197;0.1840;1.4700;0.0000;0.0000
198;0.1840;1.6800;0.0000;0.0000
199;0.1840;1.8900;0.0000;0.0000
